Components,Eigen
0,3.258097107
1,2.314665489
2,1.809927311
3,1.433646057
4,1.137719622
5,0.940237387
6,0.910386055
7,0.823948416
8,0.664388268
9,0.594784567
10,0.575333937
11,0.509719949
12,0.376447315
13,0.345899144
14,0.304798149
15,1.23E-06
