features,squareloadings
Genre,0.333706112
Year_of_Release,0.309389947
Publisher,0.116429297
Developer,0.096231
Rating,0.036025035
Platform,0.023214624
EU_Sales,0.021689818
Name,0.019234027
Other_Sales,0.016102
NA_Sales,0.0091951
User_Score,0.00577515
User_Count,0.005525395
Critic_Count,0.003380367
JP_Sales,0.003092263
Critic_Score,0.000990563
Global_Sales,1.93E-05
